sequence,frame,matches,ground_truth_distance,estimated_distance,localization_error
P000,0,1960,0.3463686176892759,0.98,0.633631382310724
P000,1,2237,0.250898102875371,1.0,0.749101897124629
P000,2,2212,0.26948106185668314,1.0,0.7305189381433168
P000,3,2467,0.17062530635797898,1.0,0.829374693642021
P000,4,2873,0.07981155024076256,1.0,0.9201884497592374
P000,5,2632,0.1266633168596678,1.0,0.8733366831403322
P000,6,2603,0.13262071948574244,1.0,0.8673792805142575
P000,7,2441,0.18099087367176603,1.0,0.819009126328234
P000,8,2511,0.15309716004443205,1.0,0.8469028399555679
P000,9,2194,0.23701206657060858,1.0,0.7629879334293914
P000,10,2224,0.14544707508934612,1.0,0.8545529249106538
P000,11,2204,0.11938334680901543,1.0,0.8806166531909846
P000,12,1948,0.17797596441509037,0.974,0.7960240355849096
P000,13,2109,0.09216821985716547,1.0,0.9078317801428345
P000,14,1935,0.12057754959315771,0.9675,0.8469224504068423
P000,15,1827,0.12506711934097667,0.9135,0.7884328806590233
P000,16,1302,0.20958988851035237,0.651,0.44141011148964765
P000,17,496,0.2753222441807277,0.248,0.027322244180727706
P000,18,493,0.23214361369174752,0.2465,0.014356386308252478
P000,19,693,0.16186332533701436,0.3465,0.1846366746629856
P000,20,685,0.15783552716865087,0.3425,0.18466447283134915
P000,21,743,0.1285169848884573,0.3715,0.2429830151115427
P000,22,647,0.18603327128885996,0.3235,0.13746672871114005
P000,23,487,0.2403974166385297,0.2435,0.0031025833614702902
P000,24,655,0.1480707382592236,0.3275,0.17942926174077642
P000,25,615,0.22665484249687,0.3075,0.08084515750312998
P000,26,788,0.23602592109243192,0.394,0.1579740789075681
P000,27,953,0.32647777973979153,0.4765,0.15002222026020845
P000,28,473,0.26352879606805213,0.2365,0.02702879606805214
P000,29,138,0.2580454177317609,0.069,0.18904541773176087
P000,30,110,0.16903172595975988,0.055,0.11403172595975988
P000,31,86,0.11022419946782336,0.05,0.060224199467823356
P000,32,71,0.07991497003001424,0.05,0.02991497003001424
P000,33,80,0.012897557671709598,0.05,0.03710244232829041
P000,34,65,0.0770042853203177,0.05,0.027004285320317692
P000,35,62,0.027276645969666363,0.05,0.02272335403033364
P000,36,24,0.10997911211502898,0.05,0.059979112115028974
P000,37,6,0.12709492553880924,0.05,0.07709492553880924
P000,38,7,0.044397346347971406,0.05,0.005602653652028597
P000,39,7,0.016183122289939338,0.05,0.033816877710060665
P000,40,7,0.023168748797239836,0.05,0.026831251202760167
P000,41,10,0.008836329601081008,0.05,0.041163670398918994
P000,42,10,0.03507171111002003,0.05,0.01492828888997997
P000,43,17,0.10644227269911449,0.05,0.05644227269911449
P000,44,25,0.08677204261663543,0.05,0.03677204261663543
P000,45,42,0.12829080099782628,0.05,0.07829080099782627
P000,46,97,0.040721623298337256,0.05,0.009278376701662747
P000,47,69,0.050673412580293606,0.05,0.0006734125802936031
P000,48,65,0.05484254738042595,0.05,0.00484254738042595
P000,49,73,0.1257216775817364,0.05,0.07572167758173641
