frame,matches,ground_truth_distance,estimated_distance,localization_error
0,1950,0.3463686176892759,0.9999999999999999,0.653631382310724
1,2225,0.250898102875371,1.0,0.749101897124629
2,2178,0.26948106185668314,1.0,0.7305189381433168
3,2480,0.17062530635797898,1.0,0.829374693642021
4,2875,0.07981155024076256,1.0,0.9201884497592374
5,2631,0.1266633168596678,1.0,0.8733366831403322
6,2606,0.13262071948574244,1.0,0.8673792805142575
7,2471,0.18099087367176603,1.0,0.819009126328234
8,2513,0.15309716004443205,0.9999999999999998,0.8469028399555677
9,2250,0.23701206657060858,1.0,0.7629879334293914
10,2208,0.14544707508934612,0.9999999999999999,0.8545529249106538
11,2207,0.11938334680901543,0.9999999999999999,0.8806166531909845
12,1957,0.17797596441509037,1.0,0.8220240355849097
13,2096,0.09216821985716547,0.9999999999999998,0.9078317801428343
14,1938,0.12057754959315771,1.0,0.8794224504068423
15,1828,0.12506711934097667,1.0,0.8749328806590233
16,1287,0.20958988851035237,1.0000000000000002,0.7904101114896478
17,469,0.2753222441807277,1.0,0.7246777558192723
18,469,0.23214361369174752,0.9999999999999999,0.7678563863082524
19,676,0.16186332533701436,0.9999999999999999,0.8381366746629855
20,659,0.15783552716865087,1.0,0.8421644728313491
21,708,0.1285169848884573,1.0,0.8714830151115427
22,633,0.18603327128885996,1.0,0.8139667287111401
23,493,0.2403974166385297,0.9999999999999998,0.7596025833614701
24,629,0.1480707382592236,0.9999999999999999,0.8519292617407763
25,590,0.22665484249687,1.0,0.77334515750313
26,789,0.23602592109243192,0.9999999999999999,0.763974078907568
27,908,0.32647777973979153,1.0,0.6735222202602085
28,445,0.26352879606805213,0.9999999999999999,0.7364712039319478
29,122,0.2580454177317609,1.0,0.7419545822682392
30,110,0.16903172595975988,1.0,0.8309682740402401
31,95,0.11022419946782336,0.9999999999999999,0.8897758005321765
32,76,0.07991497003001424,1.0,0.9200850299699858
33,86,0.012897557671709598,1.0,0.9871024423282904
34,59,0.0770042853203177,0.9999999999999999,0.9229957146796822
35,62,0.027276645969666363,0.9999999999999999,0.9727233540303335
36,30,0.10997911211502898,1.0,0.890020887884971
